X,Y,Z
-1.876623489447808524e+01,-2.086466117374952844e+01,-9.420737578986397409e+00
-1.876623489447808524e+01,-2.086466117374952844e+01,-7.277880436129255060e+00
-1.876623489447808524e+01,-2.086466117374952844e+01,-5.135023293272112710e+00
-1.876623489447808524e+01,-2.086466117374952844e+01,-2.992166150414966808e+00
-1.876623489447808524e+01,-2.086466117374952844e+01,-8.493090075578244580e-01
-1.876623489447808524e+01,-2.086466117374952844e+01,1.293548135299317892e+00
-1.662337775162094289e+01,-2.086466117374952844e+01,-1.156359472184353976e+01
-1.662337775162094289e+01,-2.086466117374952844e+01,-9.420737578986397409e+00
-1.662337775162094289e+01,-2.086466117374952844e+01,-7.277880436129255060e+00
-1.662337775162094289e+01,-2.086466117374952844e+01,-5.135023293272112710e+00
-1.662337775162094289e+01,-2.086466117374952844e+01,-2.992166150414966808e+00
-1.662337775162094289e+01,-2.086466117374952844e+01,-8.493090075578244580e-01
-1.662337775162094289e+01,-2.086466117374952844e+01,1.293548135299317892e+00
-1.448052060876380054e+01,-2.086466117374952844e+01,-1.370645186470068211e+01
-1.448052060876380054e+01,-2.086466117374952844e+01,-1.156359472184353976e+01
-1.448052060876380054e+01,-2.086466117374952844e+01,-9.420737578986397409e+00
-1.448052060876380054e+01,-2.086466117374952844e+01,-7.277880436129255060e+00
-1.448052060876380054e+01,-2.086466117374952844e+01,-5.135023293272112710e+00
-1.448052060876380054e+01,-2.086466117374952844e+01,-2.992166150414966808e+00
-1.448052060876380054e+01,-2.086466117374952844e+01,-8.493090075578244580e-01
-1.448052060876380054e+01,-2.086466117374952844e+01,1.293548135299317892e+00
-1.233766346590665641e+01,-2.086466117374952844e+01,-1.584930900755782446e+01
-1.233766346590665641e+01,-2.086466117374952844e+01,-1.370645186470068211e+01
-1.233766346590665641e+01,-2.086466117374952844e+01,-1.156359472184353976e+01
-1.233766346590665641e+01,-2.086466117374952844e+01,-9.420737578986397409e+00
-1.233766346590665641e+01,-2.086466117374952844e+01,-7.277880436129255060e+00
-1.233766346590665641e+01,-2.086466117374952844e+01,-5.135023293272112710e+00
-1.233766346590665641e+01,-2.086466117374952844e+01,-2.992166150414966808e+00
-1.233766346590665641e+01,-2.086466117374952844e+01,-8.493090075578244580e-01
-1.233766346590665641e+01,-2.086466117374952844e+01,1.293548135299317892e+00
-1.019480632304951406e+01,-2.086466117374952844e+01,-1.799216615041496681e+01
-1.019480632304951406e+01,-2.086466117374952844e+01,-1.584930900755782446e+01
