X,Y,Z
-6.212348944780856641e-01,-1.596661173749527762e+00,-1.754645186470068197e+01
-4.162348944780873694e-01,-2.661173749530121313e-03,-1.771145186470068111e+01
9.476510552191186321e-02,-1.822661173749530406e+00,-1.758345186470068100e+01
4.397651055219142791e-01,1.333388262504726640e-01,-1.766545186470068174e+01
1.101765105521913313e+00,-1.100661173749529098e+00,-1.774645186470068126e+01
1.110765105521913654e+00,-1.526611737495287002e-01,-1.754045186470068174e+01
-1.259923489447808720e+01,-3.789661173749529155e+00,-1.680945186470068364e+01
-1.227023489447808657e+01,-2.664661173749529155e+00,-1.682345186470068299e+01
-1.161923489447808677e+01,-4.444661173749530292e+00,-1.680545186470068231e+01
-1.137823489447808711e+01,-2.601661173749530320e+00,-1.680445186470068109e+01
-1.071723489447808575e+01,-4.352661173749527990e+00,-1.665545186470068373e+01
-1.060323489447808498e+01,-2.873661173749528785e+00,-1.673345186470068313e+01
-6.462348944780877957e-01,-2.022661173749529695e+00,-1.674245186470068347e+01
-4.152348944780861473e-01,6.273388262504724366e-01,-1.675445186470068393e+01
3.007651055219149328e-01,-2.510661173749529240e+00,-1.661545186470068103e+01
4.397651055219142791e-01,7.223388262504712998e-01,-1.672245186470068035e+01
1.106765105521912318e+00,-2.600661173749529098e+00,-1.679245186470068063e+01
1.188765105521913057e+00,5.463388262504729198e-01,-1.663045186470068160e+01
2.029765105521910584e+00,-2.817661173749527848e+00,-1.665245186470068361e+01
2.151765105521910471e+00,-8.666117374952975183e-02,-1.670545186470068089e+01
2.858765105521911210e+00,-2.538661173749527933e+00,-1.679245186470068063e+01
3.083765105521912631e+00,-6.646611737495291550e-01,-1.674845186470068370e+01
-1.426123489447808623e+01,-3.594661173749528871e+00,-1.568945186470068265e+01
-1.408323489447808541e+01,-1.959661173749527308e+00,-1.581845186470068221e+01
-1.334523489447808586e+01,-4.422661173749528274e+00,-1.570345186470068199e+01
-1.312323489447808811e+01,-1.270661173749527251e+00,-1.575545186470068160e+01
-1.232223489447808618e+01,-5.120661173749528672e+00,-1.568445186470068187e+01
-1.253123489447808581e+01,-1.248661173749528785e+00,-1.579545186470068252e+01
-1.153023489447808814e+01,-5.241661173749527336e+00,-1.580845186470068242e+01
-1.148523489447808643e+01,-1.480661173749528103e+00,-1.598145186470068246e+01
-1.078523489447808714e+01,-5.097661173749528984e+00,-1.588645186470068182e+01
-1.051323489447808512e+01,-1.082661173749528416e+00,-1.586945186470068236e+01
-9.792234894478085039e+00,-4.315661173749528956e+00,-1.591045186470068273e+01
-9.571234894478084954e+00,-1.729661173749530434e+00,-1.589845186470068228e+01
-9.713234894478087966e+00,2.903388262504726924e-01,-1.583445186470068222e+01
-9.604234894478086204e+00,1.038338826250470248e+00,-1.591045186470068273e+01
-8.918234894478086261e+00,-3.743661173749529780e+00,-1.590945186470068151e+01
-8.761234894478086233e+00,-2.554661173749529723e+00,-1.580745186470068298e+01
-8.954234894478087625e+00,-6.866117374952906971e-02,-1.590145186470068239e+01
-8.701234894478087512e+00,1.659338826250472465e+00,-1.585745186470068191e+01
-7.986234894478087654e+00,1.193388262504697650e-01,-1.576645186470068261e+01
-7.798234894478085266e+00,1.057338826250472152e+00,-1.581745186470068276e+01
-5.252234894478085891e+00,2.727338826250473858e+00,-1.590845186470068207e+01
-5.281234894478085806e+00,4.340338826250473403e+00,-1.569245186470068276e+01
-1.585234894478087853e+00,-8.236611737495280749e-01,-1.569845186470068299e+01
-1.471234894478087085e+00,1.093388262504717545e-01,-1.574545186470068181e+01
-6.862348944780869431e-01,-2.130661173749530235e+00,-1.581845186470068221e+01
-5.152348944780875684e-01,6.073388262504728630e-01,-1.593745186470068198e+01
2.957651055219123748e-01,-2.799661173749527165e+00,-1.592645186470068275e+01
2.877651055219132559e-01,7.593388262504703334e-01,-1.589845186470068228e+01
1.108765105521914762e+00,-2.959661173749527308e+00,-1.601445186470068194e+01
1.182765105521912830e+00,7.073388262504707313e-01,-1.589845186470068228e+01
1.958765105521912631e+00,-3.225661173749529098e+00,-1.573545186470068202e+01
2.243765105521916325e+00,2.533388262504701061e-01,-1.574645186470068126e+01
2.908765105521915473e+00,-2.829661173749528302e+00,-1.604845186470068086e+01
2.895765105521910243e+00,-1.896611737495277339e-01,-1.588945186470068194e+01
-3.992234894478087881e+00,-1.672466117374952788e+01,2.229548135299317835e+00
-2.264234894478086346e+00,-1.676566117374952825e+01,2.460548135299319483e+00
-4.567234894478087170e+00,-1.666766117374952927e+01,3.053548135299319455e+00
-1.888234894478085124e+00,-1.675166117374952890e+01,3.257548135299316527e+00
-4.532234894478087028e+00,-1.664766117374952614e+01,3.994548135299318403e+00
-1.752234894478085891e+00,-1.685166117374952677e+01,4.132548135299316527e+00
-3.699234894478085067e+00,-1.673066117374952810e+01,5.087548135299318375e+00
-1.131234894478087227e+00,-1.674966117374953001e+01,5.097548135299316385e+00
-3.121234894478085664e+00,-1.675366117374952779e+01,6.024548135299319540e+00
-1.132234894478084897e+00,-1.676366117374952935e+01,5.872548135299318517e+00
-4.188234894478085835e+00,-1.685066117374952910e+01,2.539548135299316556e+00
-4.256234894478087227e+00,-1.669466117374953029e+01,4.531548135299317437e+00
-3.271234894478087796e+00,-1.663166117374952790e+01,2.025548135299317210e+00
-3.368234894478085550e+00,-1.681166117374952762e+01,5.618548135299317181e+00
-2.447234894478086176e+00,-1.662566117374952768e+01,2.179548135299317124e+00
-2.432234894478085607e+00,-1.682166117374952918e+01,6.449548135299316698e+00
-1.496234894478085664e+00,-1.681566117374952896e+01,4.482548135299317948e+00
-1.627234894478085891e+00,-1.676366117374952935e+01,6.365548135299317067e+00
-1.424923489447808578e+01,-3.784661173749530150e+00,-1.483745186470068234e+01
-1.414023489447808757e+01,-1.819661173749530292e+00,-1.498945186470068158e+01
-1.326523489447808757e+01,-4.557661173749529837e+00,-1.481445186470068265e+01
