X,Y,Z
-3.600000143051147461e-01,-9.200000166893005371e-01,-1.199999973177909851e-01
-3.600000143051147461e-01,-9.200000166893005371e-01,-3.999999910593032837e-02
-3.600000143051147461e-01,-9.200000166893005371e-01,3.999999910593032837e-02
-3.600000143051147461e-01,-9.200000166893005371e-01,1.199999973177909851e-01
-2.800000011920928955e-01,-9.200000166893005371e-01,-2.000000029802322388e-01
-2.800000011920928955e-01,-9.200000166893005371e-01,-1.199999973177909851e-01
-2.800000011920928955e-01,-9.200000166893005371e-01,-3.999999910593032837e-02
-2.800000011920928955e-01,-9.200000166893005371e-01,3.999999910593032837e-02
-2.800000011920928955e-01,-9.200000166893005371e-01,1.199999973177909851e-01
-2.800000011920928955e-01,-9.200000166893005371e-01,2.000000029802322388e-01
-2.000000029802322388e-01,-9.200000166893005371e-01,-2.800000011920928955e-01
-2.000000029802322388e-01,-9.200000166893005371e-01,-2.000000029802322388e-01
-2.000000029802322388e-01,-9.200000166893005371e-01,-1.199999973177909851e-01
-2.000000029802322388e-01,-9.200000166893005371e-01,-3.999999910593032837e-02
-2.000000029802322388e-01,-9.200000166893005371e-01,3.999999910593032837e-02
-2.000000029802322388e-01,-9.200000166893005371e-01,1.199999973177909851e-01
-2.000000029802322388e-01,-9.200000166893005371e-01,2.000000029802322388e-01
-2.000000029802322388e-01,-9.200000166893005371e-01,2.800000011920928955e-01
-1.199999973177909851e-01,-9.200000166893005371e-01,-3.600000143051147461e-01
-1.199999973177909851e-01,-9.200000166893005371e-01,-2.800000011920928955e-01
-1.199999973177909851e-01,-9.200000166893005371e-01,-2.000000029802322388e-01
-1.199999973177909851e-01,-9.200000166893005371e-01,-1.199999973177909851e-01
-1.199999973177909851e-01,-9.200000166893005371e-01,-3.999999910593032837e-02
-1.199999973177909851e-01,-9.200000166893005371e-01,3.999999910593032837e-02
-1.199999973177909851e-01,-9.200000166893005371e-01,1.199999973177909851e-01
-1.199999973177909851e-01,-9.200000166893005371e-01,2.000000029802322388e-01
-1.199999973177909851e-01,-9.200000166893005371e-01,2.800000011920928955e-01
-1.199999973177909851e-01,-9.200000166893005371e-01,3.600000143051147461e-01
-3.999999910593032837e-02,-9.200000166893005371e-01,-3.600000143051147461e-01
-3.999999910593032837e-02,-9.200000166893005371e-01,-2.800000011920928955e-01
-3.999999910593032837e-02,-9.200000166893005371e-01,-2.000000029802322388e-01
-3.999999910593032837e-02,-9.200000166893005371e-01,-1.199999973177909851e-01
-3.999999910593032837e-02,-9.200000166893005371e-01,-3.999999910593032837e-02
-3.999999910593032837e-02,-9.200000166893005371e-01,3.999999910593032837e-02
-3.999999910593032837e-02,-9.200000166893005371e-01,1.199999973177909851e-01
-3.999999910593032837e-02,-9.200000166893005371e-01,2.000000029802322388e-01
-3.999999910593032837e-02,-9.200000166893005371e-01,2.800000011920928955e-01
-3.999999910593032837e-02,-9.200000166893005371e-01,3.600000143051147461e-01
3.999999910593032837e-02,-9.200000166893005371e-01,-3.600000143051147461e-01
3.999999910593032837e-02,-9.200000166893005371e-01,-2.800000011920928955e-01
3.999999910593032837e-02,-9.200000166893005371e-01,-2.000000029802322388e-01
3.999999910593032837e-02,-9.200000166893005371e-01,-1.199999973177909851e-01
3.999999910593032837e-02,-9.200000166893005371e-01,-3.999999910593032837e-02
3.999999910593032837e-02,-9.200000166893005371e-01,3.999999910593032837e-02
3.999999910593032837e-02,-9.200000166893005371e-01,1.199999973177909851e-01
3.999999910593032837e-02,-9.200000166893005371e-01,2.000000029802322388e-01
3.999999910593032837e-02,-9.200000166893005371e-01,2.800000011920928955e-01
3.999999910593032837e-02,-9.200000166893005371e-01,3.600000143051147461e-01
1.199999973177909851e-01,-9.200000166893005371e-01,-3.600000143051147461e-01
1.199999973177909851e-01,-9.200000166893005371e-01,-2.800000011920928955e-01
1.199999973177909851e-01,-9.200000166893005371e-01,-2.000000029802322388e-01
1.199999973177909851e-01,-9.200000166893005371e-01,-1.199999973177909851e-01
1.199999973177909851e-01,-9.200000166893005371e-01,-3.999999910593032837e-02
1.199999973177909851e-01,-9.200000166893005371e-01,3.999999910593032837e-02
1.199999973177909851e-01,-9.200000166893005371e-01,1.199999973177909851e-01
1.199999973177909851e-01,-9.200000166893005371e-01,2.000000029802322388e-01
1.199999973177909851e-01,-9.200000166893005371e-01,2.800000011920928955e-01
1.199999973177909851e-01,-9.200000166893005371e-01,3.600000143051147461e-01
2.000000029802322388e-01,-9.200000166893005371e-01,-2.800000011920928955e-01
2.000000029802322388e-01,-9.200000166893005371e-01,-2.000000029802322388e-01
2.000000029802322388e-01,-9.200000166893005371e-01,-1.199999973177909851e-01
2.000000029802322388e-01,-9.200000166893005371e-01,-3.999999910593032837e-02
2.000000029802322388e-01,-9.200000166893005371e-01,3.999999910593032837e-02
2.000000029802322388e-01,-9.200000166893005371e-01,1.199999973177909851e-01
2.000000029802322388e-01,-9.200000166893005371e-01,2.000000029802322388e-01
2.000000029802322388e-01,-9.200000166893005371e-01,2.800000011920928955e-01
2.800000011920928955e-01,-9.200000166893005371e-01,-2.000000029802322388e-01
2.800000011920928955e-01,-9.200000166893005371e-01,-1.199999973177909851e-01
2.800000011920928955e-01,-9.200000166893005371e-01,-3.999999910593032837e-02
2.800000011920928955e-01,-9.200000166893005371e-01,3.999999910593032837e-02
2.800000011920928955e-01,-9.200000166893005371e-01,1.199999973177909851e-01
2.800000011920928955e-01,-9.200000166893005371e-01,2.000000029802322388e-01
3.600000143051147461e-01,-9.200000166893005371e-01,-1.199999973177909851e-01
3.600000143051147461e-01,-9.200000166893005371e-01,-3.999999910593032837e-02
3.600000143051147461e-01,-9.200000166893005371e-01,3.999999910593032837e-02
3.600000143051147461e-01,-9.200000166893005371e-01,1.199999973177909851e-01
-5.199999809265136719e-01,-8.399999737739562988e-01,-1.199999973177909851e-01
-5.199999809265136719e-01,-8.399999737739562988e-01,-3.999999910593032837e-02
-5.199999809265136719e-01,-8.399999737739562988e-01,3.999999910593032837e-02
-5.199999809265136719e-01,-8.399999737739562988e-01,1.199999973177909851e-01
-4.399999976158142090e-01,-8.399999737739562988e-01,-2.800000011920928955e-01
-4.399999976158142090e-01,-8.399999737739562988e-01,-2.000000029802322388e-01
-4.399999976158142090e-01,-8.399999737739562988e-01,-1.199999973177909851e-01
-4.399999976158142090e-01,-8.399999737739562988e-01,-3.999999910593032837e-02
-4.399999976158142090e-01,-8.399999737739562988e-01,3.999999910593032837e-02
-4.399999976158142090e-01,-8.399999737739562988e-01,1.199999973177909851e-01
-4.399999976158142090e-01,-8.399999737739562988e-01,2.000000029802322388e-01
-4.399999976158142090e-01,-8.399999737739562988e-01,2.800000011920928955e-01
-3.600000143051147461e-01,-8.399999737739562988e-01,-3.600000143051147461e-01
-3.600000143051147461e-01,-8.399999737739562988e-01,-2.800000011920928955e-01
-3.600000143051147461e-01,-8.399999737739562988e-01,-2.000000029802322388e-01
-3.600000143051147461e-01,-8.399999737739562988e-01,-1.199999973177909851e-01
-3.600000143051147461e-01,-8.399999737739562988e-01,-3.999999910593032837e-02
