X,Y,Z
-2.062691410198343747e-19,2.462234736353762929e-17,-1.000000000000000000e+00
1.081190000000000068e-01,2.462234736353762929e-17,-9.941379999999999661e-01
2.149699999999999944e-01,2.462234736353762929e-17,-9.766209999999999614e-01
3.193019999999999747e-01,2.462234736353762929e-17,-9.476529999999999676e-01
4.198890000000000122e-01,2.462234736353762929e-17,-9.075750000000000206e-01
5.155539999999999567e-01,2.462234736353762929e-17,-8.568569999999999798e-01
6.051739999999999897e-01,2.462234736353762929e-17,-7.960930000000000506e-01
6.876989999999999492e-01,2.462234736353762929e-17,-7.259949999999999459e-01
7.621620000000000061e-01,2.462234736353762929e-17,-6.473860000000000170e-01
8.276890000000000081e-01,2.462234736353762929e-17,-5.611869999999999914e-01
8.835119999999999640e-01,2.462234736353762929e-17,-4.684079999999999910e-01
9.289770000000000527e-01,2.462234736353762929e-17,-3.701380000000000225e-01
9.635500000000000176e-01,2.462234736353762929e-17,-2.675279999999999880e-01
9.868270000000000097e-01,2.462234736353762929e-17,-1.617820000000000091e-01
9.985330000000000039e-01,2.462234736353762929e-17,-5.413899999999999962e-02
9.985330000000000039e-01,2.462234736353762929e-17,5.413899999999999962e-02
9.868270000000000097e-01,2.462234736353762929e-17,1.617820000000000091e-01
9.635500000000000176e-01,2.462234736353762929e-17,2.675279999999999880e-01
9.289770000000000527e-01,2.462234736353762929e-17,3.701380000000000225e-01
8.835119999999999640e-01,2.462234736353762929e-17,4.684079999999999910e-01
8.276890000000000081e-01,2.462234736353762929e-17,5.611869999999999914e-01
7.621620000000000061e-01,2.462234736353762929e-17,6.473860000000000170e-01
6.876989999999999492e-01,2.462234736353762929e-17,7.259949999999999459e-01
6.051739999999999897e-01,2.462234736353762929e-17,7.960930000000000506e-01
5.155539999999999567e-01,2.462234736353762929e-17,8.568569999999999798e-01
4.198890000000000122e-01,2.462234736353762929e-17,9.075750000000000206e-01
3.193019999999999747e-01,2.462234736353762929e-17,9.476529999999999676e-01
2.149699999999999944e-01,2.462234736353762929e-17,9.766209999999999614e-01
1.081190000000000068e-01,2.462234736353762929e-17,9.941379999999999661e-01
-2.062691410198343747e-19,2.462234736353762929e-17,1.000000000000000000e+00
1.075269999999999976e-01,1.130200000000002383e-02,-9.941379999999999661e-01
2.137930000000000108e-01,2.247100000000002568e-02,-9.766209999999999614e-01
3.175520000000000009e-01,3.337600000000003064e-02,-9.476529999999999676e-01
4.175889999999999880e-01,4.389000000000002621e-02,-9.075750000000000206e-01
5.127300000000000191e-01,5.389000000000002816e-02,-8.568569999999999798e-01
6.018590000000000328e-01,6.325800000000002254e-02,-7.960930000000000506e-01
6.839319999999999844e-01,7.188400000000003121e-02,-7.259949999999999459e-01
7.579869999999999663e-01,7.966800000000003046e-02,-6.473860000000000170e-01
8.231549999999999701e-01,8.651700000000002444e-02,-5.611869999999999914e-01
8.786720000000000086e-01,9.235200000000003129e-02,-4.684079999999999910e-01
9.238880000000000425e-01,9.710500000000002463e-02,-3.701380000000000225e-01
9.582720000000000127e-01,1.007180000000000297e-01,-2.675279999999999880e-01
9.814209999999999878e-01,1.031510000000000343e-01,-1.617820000000000091e-01
9.930630000000000290e-01,1.043750000000000233e-01,-5.413899999999999962e-02
9.930630000000000290e-01,1.043750000000000233e-01,5.413899999999999962e-02
9.814209999999999878e-01,1.031510000000000343e-01,1.617820000000000091e-01
9.582720000000000127e-01,1.007180000000000297e-01,2.675279999999999880e-01
9.238880000000000425e-01,9.710500000000002463e-02,3.701380000000000225e-01
8.786720000000000086e-01,9.235200000000003129e-02,4.684079999999999910e-01
8.231549999999999701e-01,8.651700000000002444e-02,5.611869999999999914e-01
7.579869999999999663e-01,7.966800000000003046e-02,6.473860000000000170e-01
6.839319999999999844e-01,7.188400000000003121e-02,7.259949999999999459e-01
6.018590000000000328e-01,6.325800000000002254e-02,7.960930000000000506e-01
5.127300000000000191e-01,5.389000000000002816e-02,8.568569999999999798e-01
4.175889999999999880e-01,4.389000000000002621e-02,9.075750000000000206e-01
3.175520000000000009e-01,3.337600000000003064e-02,9.476529999999999676e-01
2.137930000000000108e-01,2.247100000000002568e-02,9.766209999999999614e-01
1.075269999999999976e-01,1.130200000000002383e-02,9.941379999999999661e-01
1.057560000000000028e-01,2.247900000000002327e-02,-9.941379999999999661e-01
2.102729999999999877e-01,4.469500000000002637e-02,-9.766209999999999614e-01
3.123239999999999905e-01,6.638700000000002932e-02,-9.476529999999999676e-01
4.107140000000000235e-01,8.730000000000003035e-02,-9.075750000000000206e-01
5.042879999999999585e-01,1.071900000000000214e-01,-8.568569999999999798e-01
5.919499999999999762e-01,1.258230000000000182e-01,-7.960930000000000506e-01
6.726720000000000477e-01,1.429810000000000247e-01,-7.259949999999999459e-01
7.455070000000000308e-01,1.584620000000000195e-01,-6.473860000000000170e-01
8.096020000000000438e-01,1.720860000000000167e-01,-5.611869999999999914e-01
8.642050000000000010e-01,1.836920000000000219e-01,-4.684079999999999910e-01
9.086760000000000392e-01,1.931450000000000389e-01,-3.701380000000000225e-01
9.424940000000000540e-01,2.003330000000000388e-01,-2.675279999999999880e-01
9.652619999999999534e-01,2.051730000000000220e-01,-1.617820000000000091e-01
9.767130000000000534e-01,2.076070000000000415e-01,-5.413899999999999962e-02
9.767130000000000534e-01,2.076070000000000415e-01,5.413899999999999962e-02
9.652619999999999534e-01,2.051730000000000220e-01,1.617820000000000091e-01
9.424940000000000540e-01,2.003330000000000388e-01,2.675279999999999880e-01
9.086760000000000392e-01,1.931450000000000389e-01,3.701380000000000225e-01
8.642050000000000010e-01,1.836920000000000219e-01,4.684079999999999910e-01
8.096020000000000438e-01,1.720860000000000167e-01,5.611869999999999914e-01
7.455070000000000308e-01,1.584620000000000195e-01,6.473860000000000170e-01
6.726720000000000477e-01,1.429810000000000247e-01,7.259949999999999459e-01
5.919499999999999762e-01,1.258230000000000182e-01,7.960930000000000506e-01
5.042879999999999585e-01,1.071900000000000214e-01,8.568569999999999798e-01
4.107140000000000235e-01,8.730000000000003035e-02,9.075750000000000206e-01
3.123239999999999905e-01,6.638700000000002932e-02,9.476529999999999676e-01
2.102729999999999877e-01,4.469500000000002637e-02,9.766209999999999614e-01
1.057560000000000028e-01,2.247900000000002327e-02,9.941379999999999661e-01
1.028270000000000017e-01,3.341100000000003095e-02,-9.941379999999999661e-01
2.044489999999999919e-01,6.643000000000003069e-02,-9.766209999999999614e-01
3.036739999999999995e-01,9.867000000000002158e-02,-9.476529999999999676e-01
3.993380000000000263e-01,1.297530000000000350e-01,-9.075750000000000206e-01
4.903210000000000068e-01,1.593150000000000399e-01,-8.568569999999999798e-01
5.755550000000000388e-01,1.870090000000000363e-01,-7.960930000000000506e-01
6.540409999999999835e-01,2.125110000000000332e-01,-7.259949999999999459e-01
7.248590000000000311e-01,2.355210000000000359e-01,-6.473860000000000170e-01
7.871789999999999621e-01,2.557699999999999974e-01,-5.611869999999999914e-01
8.402699999999999614e-01,2.730199999999999849e-01,-4.684079999999999910e-01
8.835089999999999888e-01,2.870699999999999918e-01,-3.701380000000000225e-01
9.163900000000000379e-01,2.977529999999999899e-01,-2.675279999999999880e-01
9.385280000000000289e-01,3.049459999999999948e-01,-1.617820000000000091e-01
9.496620000000000061e-01,3.085640000000000049e-01,-5.413899999999999962e-02
9.496620000000000061e-01,3.085640000000000049e-01,5.413899999999999962e-02
9.385280000000000289e-01,3.049459999999999948e-01,1.617820000000000091e-01
9.163900000000000379e-01,2.977529999999999899e-01,2.675279999999999880e-01
8.835089999999999888e-01,2.870699999999999918e-01,3.701380000000000225e-01
8.402699999999999614e-01,2.730199999999999849e-01,4.684079999999999910e-01
7.871789999999999621e-01,2.557699999999999974e-01,5.611869999999999914e-01
7.248590000000000311e-01,2.355210000000000359e-01,6.473860000000000170e-01
