X,Y,Z
1.899999938905239105e-02,0.000000000000000000e+00,6.556000113487243652e-01
3.049298748373985291e-02,-4.385973885655403137e-02,5.767515301704406738e-01
1.165607012808322906e-02,-1.305892691016197205e-02,7.342084050178527832e-01
4.829140752553939819e-02,-5.451148748397827148e-02,6.764318943023681641e-01
3.046722337603569031e-02,4.063857719302177429e-02,5.946091413497924805e-01
4.137860983610153198e-02,-3.342389315366744995e-02,6.969511508941650391e-01
1.776902936398983002e-02,-1.168599934317171574e-03,5.721046328544616699e-01
-1.372916810214519501e-02,-3.786455094814300537e-02,7.340770363807678223e-01
-1.762133650481700897e-02,9.703132673166692257e-04,6.200478672981262207e-01
2.997486665844917297e-02,-1.069272216409444809e-02,5.846480131149291992e-01
-4.032626748085021973e-02,-3.218358382582664490e-02,6.652085185050964355e-01
-1.196999996900558472e-01,0.000000000000000000e+00,-7.372000217437744141e-01
-1.197248026728630066e-01,-1.708844117820262909e-02,-6.471617221832275391e-01
-5.731337144970893860e-02,1.794932410120964050e-02,-7.945563793182373047e-01
-1.155330985784530640e-01,6.021348014473915100e-02,-6.770523786544799805e-01
-1.118430122733116150e-01,8.635491132736206055e-03,-6.398040056228637695e-01
-2.304314076900482178e-02,6.622164510190486908e-03,-7.195031046867370605e-01
-1.824416518211364746e-01,5.189454182982444763e-02,-7.154955267906188965e-01
-1.047483831644058228e-01,5.622133240103721619e-02,-7.107519507408142090e-01
-1.768006682395935059e-01,8.351610973477363586e-03,-7.476336956024169922e-01
-8.805391192436218262e-02,6.209821999073028564e-02,-6.985937952995300293e-01
-8.293436467647552490e-02,-2.355233393609523773e-02,-7.597075104713439941e-01
7.369999885559082031e-01,0.000000000000000000e+00,-1.139000058174133301e+00
7.356271743774414062e-01,2.894600294530391693e-02,-1.156217336654663086e+00
7.693935632705688477e-01,-3.899374604225158691e-02,-1.103698134422302246e+00
7.501837015151977539e-01,-1.658096909523010254e-02,-1.047945618629455566e+00
7.202807664871215820e-01,-4.350820183753967285e-02,-1.127246499061584473e+00
7.749130725860595703e-01,4.826018586754798889e-02,-1.082595944404602051e+00
8.071395754814147949e-01,-1.607836782932281494e-02,-1.121770739555358887e+00
7.490595579147338867e-01,-7.695316453464329243e-04,-1.042413830757141113e+00
7.470525503158569336e-01,4.147111624479293823e-02,-1.168057918548583984e+00
7.147072553634643555e-01,3.036209754645824432e-02,-1.094045519828796387e+00
7.767386436462402344e-01,-3.665739670395851135e-02,-1.102391362190246582e+00
