X,Y,Z
1.610999999999999988e+00,0.000000000000000000e+00,-3.589999999999999858e-01
1.403000000000000025e+00,0.000000000000000000e+00,-9.330000000000000515e-01
1.534999999999999920e+00,0.000000000000000000e+00,-4.929999999999999938e-01
1.475000000000000089e+00,0.000000000000000000e+00,-6.340000000000000080e-01
1.431000000000000050e+00,0.000000000000000000e+00,-7.820000000000000284e-01
1.604000000000000092e+00,-1.509999999999999953e-01,-3.579999999999999849e-01
1.528999999999999915e+00,-1.449999999999999900e-01,-4.919999999999999929e-01
1.469000000000000083e+00,-1.409999999999999865e-01,-6.340000000000000080e-01
1.425000000000000044e+00,-1.390000000000000124e-01,-7.810000000000000275e-01
1.397000000000000020e+00,-1.380000000000000115e-01,-9.320000000000000506e-01
1.584000000000000075e+00,-3.009999999999999898e-01,-3.559999999999999831e-01
1.508999999999999897e+00,-2.899999999999999800e-01,-4.899999999999999911e-01
1.449999999999999956e+00,-2.819999999999999729e-01,-6.320000000000000062e-01
1.405999999999999917e+00,-2.760000000000000231e-01,-7.790000000000000258e-01
1.377999999999999892e+00,-2.740000000000000213e-01,-9.300000000000000488e-01
1.550000000000000044e+00,-4.480000000000000093e-01,-3.529999999999999805e-01
1.477000000000000091e+00,-4.319999999999999951e-01,-4.869999999999999885e-01
1.419000000000000039e+00,-4.189999999999999836e-01,-6.290000000000000036e-01
1.375000000000000000e+00,-4.119999999999999774e-01,-7.760000000000000231e-01
1.348000000000000087e+00,-4.079999999999999738e-01,-9.270000000000000462e-01
1.504000000000000004e+00,-5.919999999999999707e-01,-3.479999999999999760e-01
1.431999999999999940e+00,-5.699999999999999512e-01,-4.829999999999999849e-01
1.375000000000000000e+00,-5.540000000000000480e-01,-6.239999999999999991e-01
1.332999999999999963e+00,-5.440000000000000391e-01,-7.720000000000000195e-01
1.304999999999999938e+00,-5.390000000000000346e-01,-9.230000000000000426e-01
1.445000000000000062e+00,-7.309999999999999831e-01,-3.420000000000000262e-01
1.375000000000000000e+00,-7.039999999999999591e-01,-4.769999999999999796e-01
1.320000000000000062e+00,-6.840000000000000524e-01,-6.189999999999999947e-01
1.278000000000000025e+00,-6.710000000000000409e-01,-7.660000000000000142e-01
1.252000000000000002e+00,-6.660000000000000364e-01,-9.180000000000000382e-01
1.372999999999999998e+00,-8.639999999999999902e-01,-3.350000000000000200e-01
1.306999999999999940e+00,-8.319999999999999618e-01,-4.699999999999999734e-01
1.252999999999999892e+00,-8.090000000000000524e-01,-6.119999999999999885e-01
1.213000000000000078e+00,-7.940000000000000391e-01,-7.600000000000000089e-01
1.187000000000000055e+00,-7.870000000000000329e-01,-9.110000000000000320e-01
1.290999999999999925e+00,-9.899999999999999911e-01,-3.270000000000000129e-01
1.227000000000000091e+00,-9.539999999999999591e-01,-4.620000000000000218e-01
1.175000000000000044e+00,-9.270000000000000462e-01,-6.039999999999999813e-01
1.137000000000000011e+00,-9.090000000000000302e-01,-7.520000000000000018e-01
1.110999999999999988e+00,-9.020000000000000240e-01,-9.040000000000000258e-01
1.197000000000000064e+00,-1.108000000000000096e+00,-3.180000000000000049e-01
1.137000000000000011e+00,-1.068000000000000060e+00,-4.530000000000000138e-01
1.088000000000000078e+00,-1.036999999999999922e+00,-5.959999999999999742e-01
1.050999999999999934e+00,-1.018000000000000016e+00,-7.439999999999999947e-01
1.026000000000000023e+00,-1.010000000000000009e+00,-8.950000000000000178e-01
1.092999999999999972e+00,-1.217000000000000082e+00,-3.069999999999999951e-01
1.036999999999999922e+00,-1.173000000000000043e+00,-4.430000000000000049e-01
9.899999999999999911e-01,-1.139999999999999902e+00,-5.859999999999999654e-01
9.549999999999999600e-01,-1.118000000000000105e+00,-7.339999999999999858e-01
9.310000000000000497e-01,-1.108999999999999986e+00,-8.860000000000000098e-01
9.799999999999999822e-01,-1.316999999999999948e+00,-2.959999999999999853e-01
9.270000000000000462e-01,-1.268999999999999906e+00,-4.319999999999999951e-01
8.840000000000000080e-01,-1.233000000000000096e+00,-5.759999999999999565e-01
8.509999999999999787e-01,-1.209999999999999964e+00,-7.239999999999999769e-01
8.279999999999999583e-01,-1.199999999999999956e+00,-8.760000000000000009e-01
8.579999999999999849e-01,-1.405999999999999917e+00,-2.839999999999999747e-01
8.100000000000000533e-01,-1.354000000000000092e+00,-4.209999999999999853e-01
7.700000000000000178e-01,-1.316000000000000059e+00,-5.639999999999999458e-01
7.389999999999999902e-01,-1.290999999999999925e+00,-7.129999999999999671e-01
7.169999999999999707e-01,-1.280999999999999917e+00,-8.649999999999999911e-01
7.289999999999999813e-01,-1.483000000000000096e+00,-2.710000000000000187e-01
6.860000000000000542e-01,-1.429000000000000048e+00,-4.079999999999999738e-01
6.500000000000000222e-01,-1.387999999999999901e+00,-5.520000000000000462e-01
6.209999999999999964e-01,-1.362000000000000099e+00,-7.009999999999999565e-01
5.989999999999999769e-01,-1.350999999999999979e+00,-8.529999999999999805e-01
5.929999999999999716e-01,-1.548999999999999932e+00,-2.570000000000000062e-01
5.550000000000000488e-01,-1.491999999999999993e+00,-3.950000000000000178e-01
5.230000000000000204e-01,-1.449999999999999956e+00,-5.390000000000000346e-01
4.959999999999999964e-01,-1.423000000000000043e+00,-6.889999999999999458e-01
4.759999999999999787e-01,-1.411000000000000032e+00,-8.409999999999999698e-01
4.530000000000000138e-01,-1.602000000000000091e+00,-2.429999999999999938e-01
4.199999999999999845e-01,-1.542999999999999927e+00,-3.820000000000000062e-01
3.910000000000000142e-01,-1.500000000000000000e+00,-5.260000000000000231e-01
3.669999999999999929e-01,-1.471000000000000085e+00,-6.760000000000000453e-01
3.479999999999999760e-01,-1.459000000000000075e+00,-8.279999999999999583e-01
3.079999999999999960e-01,-1.641999999999999904e+00,-2.290000000000000091e-01
2.800000000000000266e-01,-1.582000000000000073e+00,-3.679999999999999938e-01
2.550000000000000044e-01,-1.536999999999999922e+00,-5.130000000000000115e-01
2.340000000000000135e-01,-1.508000000000000007e+00,-6.620000000000000329e-01
2.159999999999999976e-01,-1.495999999999999996e+00,-8.149999999999999467e-01
1.600000000000000033e-01,-1.669000000000000039e+00,-2.139999999999999958e-01
1.370000000000000107e-01,-1.608000000000000096e+00,-3.539999999999999813e-01
1.170000000000000068e-01,-1.562000000000000055e+00,-4.989999999999999991e-01
9.800000000000000377e-02,-1.532999999999999918e+00,-6.490000000000000213e-01
8.100000000000000255e-02,-1.520000000000000018e+00,-8.010000000000000453e-01
1.000000000000000021e-02,-1.683000000000000052e+00,-1.990000000000000102e-01
-7.000000000000000146e-03,-1.620999999999999996e+00,-3.390000000000000235e-01
-2.400000000000000050e-02,-1.574999999999999956e+00,-4.849999999999999867e-01
-4.000000000000000083e-02,-1.546000000000000041e+00,-6.350000000000000089e-01
-5.600000000000000117e-02,-1.532999999999999918e+00,-7.880000000000000338e-01
-1.409999999999999865e-01,-1.683000000000000052e+00,-1.839999999999999969e-01
-1.519999999999999962e-01,-1.620999999999999996e+00,-3.250000000000000111e-01
-1.640000000000000069e-01,-1.574999999999999956e+00,-4.709999999999999742e-01
-1.779999999999999916e-01,-1.546000000000000041e+00,-6.209999999999999964e-01
-1.930000000000000049e-01,-1.532999999999999918e+00,-7.740000000000000213e-01
-2.899999999999999800e-01,-1.669000000000000039e+00,-1.690000000000000113e-01
